EURAL	EURAL (versie 2014)
190999	19 09 99 - déchets non spécifiés ailleurs
191001	19 10 01 - déchets de fer ou d'acier
191002	19 10 02 - déchets de métaux non ferreux
191003*	19 10 03* - fraction légère des résidus de broyage et poussières contenant des substances dangereuses
191004	19 10 04 - fraction légère des résidus de broyage et poussières autres que celles visées à la rubrique 19 10 03
191005*	19 10 05* - autres fractions contenant des substances dangereuses
191006	19 10 06 - autres fractions autres que celles visées à la rubrique 19 10 05
191101*	19 11 01* - argiles de filtration usées
191102*	19 11 02* - goudrons acides
191103*	19 11 03* - déchets liquides aqueux
191104*	19 11 04* - déchets provenant du nettoyage d'hydrocarbures avec des bases
191105*	19 11 05* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
191106	19 11 06 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 19 11 05
191107*	19 11 07* - déchets provenant de l'épuration des gaz de combustion
191199	19 11 99 - déchets non spécifiés ailleurs
191201	19 12 01 - papier et carton
191202	19 12 02 - métaux ferreux
191203	19 12 03 - métaux non ferreux
191204	19 12 04 - matières plastiques et caoutchouc
191205	19 12 05 - verre
191206*	19 12 06* - bois contenant des substances dangereuses
191207	19 12 07 - bois autres que ceux visés à la rubrique 19 12 06
191208	19 12 08 - textiles
191209	19 12 09 - minéraux (par exemple sable, cailloux)
191210	19 12 10 - déchets combustibles (combustible issu de déchets)
191211*	19 12 11* - autres déchets (y compris mélanges) provenant du traitement mécanique des déchets contenant des substances dangereuses
191212	19 12 12 - autres déchets (y compris mélanges) provenant du traitement mécanique des déchets autres que ceux visés à la rubrique 19 12 11
191301*	19 13 01* - déchets solides provenant de la décontamination des sols contenant des substances dangereuses
191302	19 13 02 - déchets solides provenant de la décontamination des sols autres que ceux visés à la rubrique 19 13 01
191303*	19 13 03* - boues provenant de la décontamination des sols contenant des substances dangereuses
191304	19 13 04 - boues provenant de la décontamination des sols autres que celles visées à la rubrique 19 13 03
191305*	19 13 05* - boues provenant de la décontamination des eaux souterraines contenant des substances dangereuses
191306	19 13 06 - boues provenant de la décontamination des eaux souterraines autres que celles visées à la rubrique 19 13 05
191307*	19 13 07* - déchets liquides aqueux et concentrés aqueux provenant de la décontamination des eaux souterraines contenant des substances dangereuses
191308	19 13 08 - déchets liquides aqueux et concentrés aqueux provenant de la décontamination des eaux souterraines autres que ceux visés à la rubrique 19 13 07
200101	20 01 01 - papier et carton
200102	20 01 02 - verre
200108 - Cat1 - déchets de cuisine et de table provenant de moyens de transport international	20 01 08 - Cat1 - déchets de cuisine et de table provenant de moyens de transport international
200108 - Cat3 - déchets de cuisine et de table, autre que cat 1	20 01 08 - Cat3 - déchets de cuisine et de table, autre que cat 1
200108	20 01 08 - déchets de cuisine et de cantine biodégradables
200110	20 01 10 - vêtements
200111	20 01 11 - textiles
200113*	20 01 13* - solvants
200114*	20 01 14* - acides
200115*	20 01 15* - déchets basiques
200117*	20 01 17* - produits chimiques de la photographie
200119*	20 01 19* - pesticides
200121*	20 01 21* - tubes fluorescents et autres déchets contenant du mercure
200123*	20 01 23* - équipements mis au rebut contenant des chlorofluorocarbones
200125 - Cat3 - les huiles de cuisson usagées	20 01 25 - Cat3 - les huiles de cuisson usagées
200125	20 01 25 - huiles et matières grasses alimentaires
200126*	20 01 26* - huiles et matières grasses autres que celles visées à la rubrique 20 01 25
200127*	20 01 27* - peinture, encres, colles et résines contenant des substances dangereuses
200128	20 01 28 - peinture, encres, colles et résines autres que celles visées à la rubrique 20 01 27
200129*	20 01 29* - détergents contenant des substances dangereuses
200130	20 01 30 - détergents autres que ceux visés à la rubrique 20 01 29
200131*	20 01 31* - médicaments cytotoxiques et cytostatiques
200132	20 01 32 - médicaments autres que ceux visés à la rubrique 20 01 31
200133*	20 01 33* - piles et accumulateurs visés aux rubriques 16 06 01, 16 06 02 ou 16 06 03 et piles et accumulateurs non triés contenant ces piles
200134	20 01 34 - piles et accumulateurs autres que ceux visés à la rubrique 20 01 33
200135*	20 01 35* - équipements électriques et électroniques mis au rebut contenant des composants dangereux, autres que ceux visés aux rubriques 20 01 21 et 20 01 23 (3)
200136	20 01 36 - équipements électriques et électroniques mis au rebut autres que ceux visés aux rubriques 20 01 21, 20 01 23 et 20 01 35
200137*	20 01 37* - bois contenant des substances dangereuses
200138	20 01 38 - bois autres que ceux visés à la rubrique 20 01 37
200139	20 01 39 - matières plastiques
200140	20 01 40 - métaux
200141	20 01 41 - déchets provenant du ramonage de cheminée
200199	20 01 99 - autres fractions non spécifiées ailleurs
200201	20 02 01 - déchets biodégradables
200202	20 02 02 - terres et pierres
200203	20 02 03 - autres déchets non biodégradables
200301	20 03 01 - déchets municipaux en mélange
200302	20 03 02 - déchets de marchés
200303	20 03 03 - déchets de nettoyage des rues
200304	20 03 04 - boues de fosses septiques
200306	20 03 06 - déchets provenant du nettoyage des égouts
200307	20 03 07 - déchets encombrants
200399	20 03 99 - déchets municipaux non spécifiés ailleurs
